density	pressure [atm]	error [atm]
0.0016	373.8764001247637	107.17743984227292
0.0032	656.9335304817391	225.87204392445275
0.0048000000000000004	962.9093734781783	355.19448475363635
0.0064	1377.4492064223487	477.22275395267764
0.008	1855.8764346331568	619.4691414512904
0.009600000000000001	2504.458301382979	756.780081799019
0.011200000000000002	3470.7306730308883	964.5945145290573
0.0128	4762.268401747573	1099.6420606068423
0.014400000000000001	6368.155713398059	1382.7378323058601
0.016	8726.945953057555	1463.1317935622262
0.0176	11416.044532681017	1696.848239095986
0.019200000000000002	15336.065289920949	2074.950970707721
0.020800000000000003	19995.370134892088	2200.20662372006
0.022400000000000003	26060.21935326087	2611.9327647562804
0.024	33933.46076388889	2802.4351445851967
0.0256	43241.89789043824	2970.750211082861
0.027200000000000002	55622.858171189975	3493.889307002095
0.028800000000000003	70697.49318879667	4161.58749373742
0.030400000000000003	89628.44654462242	4431.992228344588
