density	pressure [atm]	error [atm]
0.0016	187.37031848253457	117.7817286749177
0.0032	337.06736236159526	236.55770506564133
0.0048000000000000004	520.3745564778508	365.69474670912683
0.0064	835.343219631901	524.9386747761739
0.008	1270.309876587458	620.1928714154877
0.009600000000000001	1952.751435481437	784.6305957703146
0.011200000000000002	2765.367724668072	948.2550393109865
0.0128	4073.8110199663297	1083.400734538192
0.014400000000000001	5740.56711445905	1305.372470454344
0.016	7867.1819896551715	1462.884991893829
0.0176	10879.609036116699	1738.6042747397744
0.019200000000000002	14469.672494271357	1893.7937464353208
0.020800000000000003	19241.45299396985	2172.8704221864778
0.022400000000000003	25307.09273478261	2571.700138372642
0.024	32860.65927190605	2773.7118133866925
0.0256	42297.316099271404	3150.838213409112
0.027200000000000002	54343.84310607434	3481.593524251225
0.028800000000000003	69258.0005246063	3972.1644758704124
0.030400000000000003	87826.13970175438	4372.738922292441
