density	pressure [atm]	error [atm]
0.0002	75.18284164267865	9.56317352250701
0.0004	129.79829740529735	21.897525111247656
0.0006000000000000001	179.01553892953524	35.89423726184254
0.0008	221.19044474762617	48.39818823702052
0.001	263.03810488805595	62.575360523641734
0.0012000000000000001	296.35320483908043	76.66342977513966
0.0014000000000000002	337.52837323988007	91.40432086513103
0.0016	373.51915192703643	106.20457122002988
0.0018000000000000002	406.8361301899051	118.29941532771903
0.002	444.59065175862065	131.4631506156594
0.0022	475.6864956121539	149.9564391435658
0.0024000000000000002	503.07111520939526	164.10512824126312
0.0026000000000000003	544.8491313003499	179.70268224117498
0.0028000000000000004	568.9319955157421	191.1348970627775
0.003	605.7759353971514	201.42665430044767
0.0032	634.675890173913	218.606987411492
0.0034000000000000002	664.7815242298351	235.61613580197024
0.0036000000000000003	701.0222820068467	256.45981402782235
0.0038000000000000004	739.3136034622688	272.3360753229239
0.004	776.6341385131934	289.4091131449226
0.0042	802.0185377850574	303.44516247295354
0.0044	843.0491339523139	321.68509383225137
0.0046	859.8935141799101	327.74872430210553
0.0048	900.3640510858421	347.4682982390295
0.005	952.9365008935532	368.81195659732185
0.0052	993.6055395583709	390.914355998974
0.0054	1026.4496265127436	401.40348841298515
0.0056	1082.6524468005994	422.0389631456899
0.0058	1107.9026734012994	437.60578138112623
0.006	1162.8985405269366	481.84030242854794
0.0062	1213.471255882059	471.9933961414555
0.0064	1254.136823544228	499.8357050719617
0.0066	1292.0426866131936	482.57417981594915
0.0068	1343.8676976432785	522.4636900086238
0.007	1395.1112060213893	549.9731937500279
0.0072	1445.3967209395303	550.6864344993214
0.0074	1497.5713885212895	579.0211380345847
0.0076	1580.25660382009	597.8157345504754
0.0078	1618.8447908110945	602.1393193964761
0.008	1676.3214018436283	624.5621710917559
0.0082	1744.1908187631184	630.7108937384108
0.008400000000000001	1821.5939618674163	657.3378867513717
0.008600000000000002	1850.892242069715	690.2286195110951
0.0088	1902.0656334607695	681.312904924464
0.009000000000000001	1995.0460140164919	697.96973540268
0.009200000000000002	2078.219233251874	734.8925203608821
0.0094	2138.902105087756	751.8152330154145
0.009600000000000001	2250.4825110069964	758.2843754651434
0.009800000000000001	2289.8764023178414	786.3786829289302
0.01	2392.2838157066467	795.8291610184143
0.0102	2441.5634262828585	825.8335894905716
0.010400000000000001	2573.1124330153925	859.4737152987726
0.010600000000000002	2621.305031573713	861.4201421819404
0.0108	2735.5671974532734	893.9110387040828
0.011000000000000001	2841.9427174762614	911.0255185465368
0.011200000000000002	2962.4460823067466	923.1881768129724
0.0114	3084.3789293908044	941.0152911942457
0.011600000000000001	3146.5777934927537	943.9881665246911
0.011800000000000001	3273.483471534233	980.7637639888208
0.012	3399.6072019990006	1005.9047230038467
0.0122	3478.49628153923	1026.6405954459112
0.012400000000000001	3606.442544098451	1041.7298174028406
0.012600000000000002	3750.338238855572	1073.4364307510796
0.0128	3910.629828405797	1095.4593627315453
0.013000000000000001	3971.8624332833583	1106.400558472482
0.013200000000000002	4117.773721029485	1111.8729406234363
0.0134	4292.861367411294	1143.8037931007107
0.013600000000000001	4459.046773396302	1155.6725445514746
0.013800000000000002	4657.313079415292	1213.7011816811769
0.014000000000000002	4769.152667646176	1218.6698486641856
0.0142	4956.254782558721	1230.246723962453
0.014400000000000001	5107.264447506247	1245.306946379566
0.014600000000000002	5290.13457926037	1282.8382172018887
0.0148	5466.108136981509	1296.560118404972
0.015000000000000001	5659.807672213893	1343.2429253983628
0.015200000000000002	5869.216156921539	1356.0629047255532
0.0154	6006.58377776112	1385.7061745085568
0.015600000000000001	6237.744757171415	1395.7789582157993
0.0158	6468.093415577212	1401.9148265254312
0.016	6667.391931784108	1425.6987574003174
0.0162	6914.443753623189	1442.4116595112478
0.016399999999999998	7123.456168065967	1523.5309869638784
0.0166	7397.0699626686655	1505.2973133052596
0.0168	7621.634550524737	1515.1752982487137
0.017	7824.942168515741	1591.5802687287762
0.0172	8109.900343628186	1555.8926277921942
0.0174	8385.859246126936	1607.1785639845482
0.0176	8637.262659470267	1599.4134497070534
0.0178	8921.502537731136	1702.3838546393958
0.018	9204.706095402298	1690.9199394293191
0.0182	9496.944317441279	1697.7645049312239
0.0184	9846.092747026487	1698.5261982092895
0.0186	10169.478069865068	1740.712044265644
0.0188	10388.361706796602	1770.6608430654587
0.019	10815.399448875563	1785.4968511376865
0.0192	11112.843928285858	1813.4713053830694
0.0194	11470.805316641681	1905.579645393619
0.0196	11835.851428335833	1927.8311851626922
0.019799999999999998	12191.73446231884	1913.0620970341179
0.02	12455.44914597701	1918.532713604859
0.0202	12913.979647426286	1981.2860696516998
0.0204	13284.124063068466	1979.2145105700006
0.0206	13734.433347176413	2040.0790075082507
0.0208	14189.245612593702	2034.5882059724083
0.021	14528.465708595702	2061.106732109085
0.0212	15070.843532883559	2082.986102785608
0.0214	15454.507779010495	2152.449203766831
0.0216	15993.619544977511	2177.8097240342013
0.0218	16401.816006746627	2165.132926800601
0.022	16809.351224387803	2202.8863186301505
0.0222	17334.72821994003	2289.4355436294
0.0224	17798.46859370315	2321.563812459213
0.0226	18404.692903048475	2260.413968349693
0.0228	18996.416553973013	2347.769549618605
0.023	19371.359627186404	2379.9349374580556
0.0232	20052.798482258873	2418.6578947225003
0.0234	20630.982971014495	2399.763214794286
0.0236	21211.20012343828	2464.318804620964
0.023799999999999998	21859.32500949525	2509.1643300501723
0.024	22324.42256421789	2560.001916191312
0.0242	22967.87895552224	2565.782719199037
0.0244	23713.66027786107	2614.6320193627685
